company,position,position_url,professional_work,require,salary,update_time,welfare
易宝软件深圳分公司,python开发,http://www.job5156.com/city/job_278752755,计算机软件,本科|经验不限|西安,10-18.3千/月,6月22日刷新,"五险一金,员工福利,8小时工作制"
华南城集团有限公司,python开发工程师,http://www.job5156.com/shenzhen/job_278754494,房地产/建筑/建材/工程,大专|经验不限|深圳,8.3-13.3千/月,6月22日刷新,"五险一金,员工福利,8小时工作制"
东莞市耐萨斯自动化科技有限公司,高级软件工程师,http://www.job5156.com/dongguan/job_278694493,钢铁/机械/设备/重工,大专|经验3年|东莞-长安镇,15-20千/月,1小时前刷新,"包吃,房补,五险,带薪年假,免费培训"
郴州郴电科技有限公司,软件开发人员,http://www.job5156.com/chenzhou/job_278770846,生产/制造/加工,本科|经验1年|郴州-苏仙区,5-10千/月,3小时前刷新,"包吃,免费班车,加班补助,8小时工作制,带薪年假"
东莞市俭德电子有限公司,软件/韧体工程师,http://www.job5156.com/dongguan/job_278037598,生产/制造/加工,大专|经验2年|东莞-清溪镇,8-16千/月,3小时前刷新,"包吃,包住,免费培训,节日福利,团队活动丰富"
广东优力普物联科技有限公司,软件测试工程师,http://www.job5156.com/dongguan/job_278615549,电子/微电子技术/集成电路,大专|经验5年|东莞-松山湖,10-15千/月,3小时前刷新,"餐补,8小时工作制,绩效奖,免费体检,五险一金"
广东金龙东创智能装备有限公司,MAC软件工程师,http://www.job5156.com/dongguan/job_277976179,仪器仪表/电工设备/工业自动化,大专|经验2年|东莞-寮步镇,10-20千/月,4小时前刷新,"包吃,包住,餐补,五险一金,年终奖"
广东智通人才连锁股份有限公司,数据分析/市场调研,http://www.job5156.com/dongguan/job_278780317,人才交流/中介服务,大专|应届毕业生|东莞-莞城区,4-6千/月,4小时前刷新,"弹性工作时间,8小时工作制,季度奖,年终奖,节日福利"
深圳市浩和英才管理咨询有限公司,软件工程师,http://www.job5156.com/huizhou/job_278742358,人力资源服务,本科|经验2年|惠州-惠阳区,10-15千/月,4小时前刷新,"包吃,包住"
东莞市容奥电子有限公司,数据分析员,http://www.job5156.com/dongguan/job_278735043,电子/微电子技术/集成电路,大专|经验2年|东莞-长安镇,5.5-8千/月,4小时前刷新,"餐补,房补,五险一金,带薪年假,绩效奖"
东莞市致友软件科技有限公司,NC服务顾问,http://www.job5156.com/dongguan/job_278295892,计算机软件,大专|经验不限|东莞-南城区,8-15千/月,4小时前刷新,"五险一金,双休,免费培训,团队活动丰富,餐补"
东莞凤岗嘉辉塑胶五金有限公司,机器人开发软件工程师,http://www.job5156.com/dongguan/job_278329326,生产/制造/加工,大专|经验2年|东莞-凤岗镇,8-13千/月,4小时前刷新,"养老保险,医疗保险,生育保险,工伤保险,失业保险"
东莞市乔锋机械有限公司,软件工程师,http://www.job5156.com/dongguan/job_278707019,钢铁/机械/设备/重工,本科|经验3年|东莞-常平镇,8-15千/月,4小时前刷新,"包吃,包住,8小时工作制,带薪年假,全勤奖"
富士康集团,Sr.TE高级测试工程师,http://www.job5156.com/shenzhen/job_278676950,电子/微电子技术/集成电路,本科|经验2年|深圳-龙华新区,8-16千/月,今天刷新,"免费班车,加班补助,五险一金,带薪年假,绩效奖"
富士康集团,测试资深工程师,http://www.job5156.com/shenzhen/job_278591601,电子/微电子技术/集成电路,本科|经验2年|深圳-龙华新区,8-10千/月,今天刷新,"免费班车,加班补助,五险一金,带薪年假,绩效奖"
